filename,type,category,description,source,source_url,license_type,attribution,commercial_ok,deidentify,clearance,notes
20260602_real-snowtown-welcome-sign.jpg,image,image,Snowtown welcome sign.jpg,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Snowtown_welcome_sign.jpg,CC BY-SA 3.0,see file page,Y,N,🟡待人工確認,真雪鎮地名牌
20260602_real-snowtown-map-with-aust.jpg,image,map,Snowtown map with Aust.jpg,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Snowtown_map_with_Aust.jpg,CC BY-SA 3.0,see file page,Y,N,🟡待人工確認,雪鎮於澳洲位置圖
20260602_real-snowtown-silos-with-tracks.jpg,image,image,Snowtown silos with tracks.jpg,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Snowtown_silos_with_tracks.jpg,CC BY-SA 3.0,see file page,Y,N,🟡待人工確認,雪鎮鐵道穀倉實景
20260602_real-snowtown-former-bank.jpg,image,image,Snowtown former bank.JPG,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Snowtown_former_bank.JPG,CC BY-SA 3.0,Fairv8,Y,N,🟡待人工確認,案發廢棄銀行（金庫案場）外觀
20260603_real-snowtown-former-bank-building-south-australia-yo.jpg,image,image,Snowtown former bank building South Australia — YouTube CC 片段,YouTube-CC,https://www.youtube.com/watch?v=5XaeGNs_Phs,CC BY 3.0（YouTube，待人工確認）,SA Police News,Y,N,🟡待人工確認,live 命中自動歸檔
20260603_real-south-australia-public-housing-1990s-youtube-cc.jpg,image,image,South Australia public housing 1990s — YouTube CC 片段,YouTube-CC,https://www.youtube.com/watch?v=y-UeiNw4mxE,CC BY 3.0（YouTube，待人工確認）,John Croissant,Y,N,🟡待人工確認,live 命中自動歸檔
