filename,type,category,description,source,source_url,license_type,attribution,commercial_ok,deidentify,clearance,notes
20260606_real-report-of-the-national-divorce-reform-league-for.pdf,doc,court-doc,"Report of the National Divorce Reform League for the Year Ending December 31, 1891 (IA reportofnational1891nati).pdf",Wikimedia Commons,"https://commons.wikimedia.org/wiki/File:Report_of_the_National_Divorce_Reform_League_for_the_Year_Ending_December_31,_1891_(IA_reportofnational1891nati).pdf",Public domain,N,Y,N,🟡待人工確認,
20260606_real-report-of-the-national-divorce-reform-league-for.pdf,doc,court-doc,"Report of the National Divorce Reform League for the Year Ending December 31, 1889 (IA reportofnational1889nati).pdf",Wikimedia Commons,"https://commons.wikimedia.org/wiki/File:Report_of_the_National_Divorce_Reform_League_for_the_Year_Ending_December_31,_1889_(IA_reportofnational1889nati).pdf",Public domain,N,Y,N,🟡待人工確認,
20260606_real-report-of-the-national-divorce-reform-league-for.pdf,doc,court-doc,"Report of the National Divorce Reform League for the Year Ending December 31, 1895 (IA reportofnational1895nati).pdf",Wikimedia Commons,"https://commons.wikimedia.org/wiki/File:Report_of_the_National_Divorce_Reform_League_for_the_Year_Ending_December_31,_1895_(IA_reportofnational1895nati).pdf",Public domain,N,Y,N,🟡待人工確認,
20260606_real-international-exhibition-of-1876-photographs-ill.pdf,doc,court-doc,International Exhibition of 1876- photographs illustrating rare books in the National Medical Library (Volume 2) (IA 0104443X2.nlm.nih.gov).pdf,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:International_Exhibition_of_1876-_photographs_illustrating_rare_books_in_the_National_Medical_Library_(Volume_2)_(IA_0104443X2.nlm.nih.gov).pdf,Public domain,N,Y,N,🟡待人工確認,
20260606_real-international-exhibition-of-1876-photographs-ill.pdf,doc,court-doc,International Exhibition of 1876- photographs illustrating rare books in the National Medical Library (Volume 1) (IA 0104443X1.nlm.nih.gov).pdf,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:International_Exhibition_of_1876-_photographs_illustrating_rare_books_in_the_National_Medical_Library_(Volume_1)_(IA_0104443X1.nlm.nih.gov).pdf,Public domain,N,Y,N,🟡待人工確認,
20260606_real-national-museum-of-health-and-medicine-of-the-af.pdf,doc,court-doc,"National Museum of Health and Medicine of the AFIP 2001 Calendar, (IA CALENDAR 201303).pdf",Wikimedia Commons,"https://commons.wikimedia.org/wiki/File:National_Museum_of_Health_and_Medicine_of_the_AFIP_2001_Calendar,_(IA_CALENDAR_201303).pdf",Public domain,N,Y,N,🟡待人工確認,
20260606_real-historic-national-road-national-museum-of-civil-.jpg,image,image,Historic National Road - National Museum of Civil War Medicine - NARA - 7719340.jpg,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Historic_National_Road_-_National_Museum_of_Civil_War_Medicine_-_NARA_-_7719340.jpg,Public domain,N,Y,N,🟡待人工確認,
20260606_real-souvenir-virginia-ter-centennial-of-historic-ale.pdf,doc,court-doc,"Souvenir Virginia ter centennial of historic Alexandria, Va., past and present (IA souvenirvirginia01wedd).pdf",Wikimedia Commons,"https://commons.wikimedia.org/wiki/File:Souvenir_Virginia_ter_centennial_of_historic_Alexandria,_Va.,_past_and_present_(IA_souvenirvirginia01wedd).pdf",Public domain,N,Y,N,🟡待人工確認,
20260606_real-medical-aspects-of-chemical-and-biological-warfa.pdf,doc,court-doc,Medical Aspects Of Chemical And Biological Warfare (IA MedicalAspectsOfChemicalAndBiologicalWarfare 201804).pdf,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Medical_Aspects_Of_Chemical_And_Biological_Warfare_(IA_MedicalAspectsOfChemicalAndBiologicalWarfare_201804).pdf,Public domain,N,Y,N,🟡待人工確認,
20260606_real-navy-marine-corps-medical-news-02-08-ia-med02008.pdf,doc,court-doc,Navy & Marine Corps Medical News 02-08 (IA Med02008).pdf,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Navy_%26_Marine_Corps_Medical_News_02-08_(IA_Med02008).pdf,Public domain,N,Y,N,🟡待人工確認,
20260606_real-navy-marine-corps-medical-news-99-23-ia-med99023.pdf,doc,court-doc,Navy & Marine Corps Medical News 99-23 (IA Med99023).pdf,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Navy_%26_Marine_Corps_Medical_News_99-23_(IA_Med99023).pdf,Public domain,N,Y,N,🟡待人工確認,
