filename,type,category,description,source,source_url,license_type,attribution,commercial_ok,deidentify,clearance,notes
20260604_real-dark-cellar-metal-door-american-homes-and-garden.jpg,image,image,dark cellar metal door — American homes and gardens (1905) (18147108592).jpg,Commons,https://commons.wikimedia.org/wiki/File:American_homes_and_gardens_(1905)_(18147108592).jpg,No restrictions,Internet Archive Book Images,Y,N,🟡待人工確認,live 命中自動歸檔
20260604_real-police-car-lights-night-leicester-police-mat-fas.jpg,image,image,police car lights night — Leicester Police - Mat Fascione.jpg,Commons,https://commons.wikimedia.org/wiki/File:Leicester_Police_-_Mat_Fascione.jpg,CC BY-SA 2.0,Mat Fascione,Y,N,🟡待人工確認,live 命中自動歸檔
20260604_real-memorial-candles-remembrance-candle-of-remembran.jpg,image,image,memorial candles remembrance — (Candle of Remembrance Memorial (1.jpg,Commons,https://commons.wikimedia.org/wiki/File:(Candle_of_Remembrance_Memorial_(1.jpg,CC BY-SA 4.0,Avi1111 dr. avishai teicher,Y,N,🟡待人工確認,live 命中自動歸檔
20260604_real-highway-243-banning-idyllwild-california-mountai.jpg,image,image,Highway 243 Banning Idyllwild California mountain road — YouTube CC 片段,YouTube-CC,https://www.youtube.com/watch?v=eYBKnHBcTrA,CC BY 3.0（YouTube，待人工確認）,Vulcancruiser,Y,N,🟡待人工確認,live 命中自動歸檔
20260604_real-rural-california-highway-roadside-1970s-youtube-.jpg,image,image,rural California highway roadside 1970s — YouTube CC 片段,YouTube-CC,https://www.youtube.com/watch?v=dG7Zlj6Ohsc,CC BY 3.0（YouTube，待人工確認）,Dark Choices,Y,N,🟡待人工確認,live 命中自動歸檔
20260604_real-memorial-candles-remembrance-youtube-cc.jpg,image,image,memorial candles remembrance — YouTube CC 片段,YouTube-CC,https://www.youtube.com/watch?v=4K0geNh6x4s,CC BY 3.0（YouTube，待人工確認）,Cultures and Cemeteries,Y,N,🟡待人工確認,live 命中自動歸檔
